course number,name,units,schedule,professor
13899,ARTS 1 WFU-3,3.0,WF 10-11:30AM lec TBA,"SAKILI, ABRAHAM"
13900,ARTS 1 WFU-4,3.0,WF 10-11:30AM lec TBA,"RIVERA, ROBIN DANIEL"
13955,ARTS 1 WFU-5,3.0,WF 10-11:30AM lec TBA,"QUIRONG, JC"
13901,ARTS 1 WFV,3.0,WF 11:30AM-1PM lec TBA,"ROSETTE, JUDITH CAMILLE"
13902,ARTS 1 WFV-1,3.0,WF 11:30AM-1PM lec TBA,"HERNANDEZ, FREDYL"
13903,ARTS 1 WFV-2,3.0,WF 11:30AM-1PM lec TBA,"ABRERA, PATRICIA MARION"
13904,ARTS 1 WFV-3,3.0,WF 11:30AM-1PM lec TBA,"LAUZON, ALDEN"
13905,ARTS 1 WFV-4,3.0,WF 11:30AM-1PM lec TBA,"YAMBAO, CLOD MARLAN KRISTER"
13906,ARTS 1 WFW,3.0,WF 1-2:30PM lec TBA,"HERNANDEZ, ELOISA MAY"
13907,ARTS 1 WFW-1,3.0,WF 1-2:30PM lec TBA,"SALAZAR, JAIME OSCAR"
13908,ARTS 1 WFW-2,3.0,WF 1-2:30PM lec TBA,"SAKILI, ABRAHAM"
13909,ARTS 1 WFW-3,3.0,WF 1-2:30PM lec TBA,"CANTA, MARILYN"
13910,ARTS 1 WFW-4,3.0,WF 1-2:30PM lec TBA,"RIVERA, ROBIN DANIEL"
13911,ARTS 1 WFX,3.0,WF 2:30-4PM lec TBA,"HERNANDEZ, FREDYL"
13912,ARTS 1 WFX-1,3.0,WF 2:30-4PM lec TBA,"SALAZAR, JAIME OSCAR"
13913,ARTS 1 WFX-2,3.0,WF 2:30-4PM lec TBA,TBA
13914,ARTS 1 WFX-3,3.0,WF 2:30-4PM lec TBA,"SAKILI, ABRAHAM"
13915,ARTS 1 WFX-4,3.0,WF 2:30-4PM lec TBA,TBA
13916,ARTS 1 WFY,3.0,WF 4-5:30PM lec TBA,"HERNANDEZ, FREDYL"
13917,ARTS 1 WFY-1,3.0,WF 4-5:30PM lec TBA,TBA
13918,ARTS 1 WFY-2,3.0,WF 4-5:30PM lec TBA,"CANTA, MARILYN"
13919,ARTS 1 WFY-3,3.0,WF 4-5:30PM lec TBA,TBA
13920,ARTS 1 WFY-4,3.0,WF 4-5:30PM lec TBA,TBA
13956,ARTS 1 WFY-5,3.0,WF 4-5:30PM lec TBA,"PAZ, LISA"
13959,ARTS 1 WFZ,3.0,WF 5:30-7PM lec TBA,TBA
13923,Art Stud 106 WFV,3.0,WF 11:30AM-1PM lec TBA,"DAGTA, JIMUEL DAVE"
