label,value
HRIM 111,3
HRIM 112,3
HRIM 120,3
HRIM 127,3
HRIM 130,3
HRIM 141,3
HRIM 160,3
HRIM 170,4
HRIM 174,5
HRIM 175,2
HRIM 233,2
HRIM 270,6
HRIM 300,3
ID 20,3
ID 21,3
ID 24,3
ID 34,2
ID 107,0
ID 116,2
ID 117,0
ID 121,3
ID 141,0
ID 153,3
ID 161,3
ID 199,3
ID 200,3
ID 216,3
ID 299,6
ID 300,3
IE 3,3
IE 27,3
IE 28,3
IE 31,3
IE 32,2
IE 33,3
IE 40,3
IE 41,3
IE 50,3
IE 122,3
IE 144,3
IE 151,3
IE 155,3
IE 156,2
IE 163,3
IE 171,3
IE 197,3
IE 198,3
IE 211,3
IE 214,3
IE 230,3
IE 241,3
IE 242,3
IE 243,3
IE 245,3
IE 251,3
IE 253,3
IE 281,1
IE 296,3
IE 298,3
IE 299,3
IE 300,0
Int Chi,3
Intl Stud,3
Intsik 10,3
Intsik 11,3
Intsik 12,3
Intsik 13,3
IR 201,3
IR 202,3
IR 204,3
IR 207.1,3
IR 207.2,3
IR 210,3
IR 211,3
IR 213,3
IR 214,3
IR 215,3
IR 216,3
IR 217,3
IR 220,3
IR 222,3
IR 225,3
IR 226,3
IR 242,3
IR 281,3
IR 289,3
IR 299,3
IR 299.1,6
IR 300,3
IS 214,3
IS 225,3
IS 241,3
IS 261,3
IS 271,3
IS 272,3
IS 286,3
IS 291,3
IS 298,3
IS 299,3
Isl Stud,3
Ital 10,3
Ital 11,3
Ital 12,3
Ital 13,3
Ital 101,6
Italian 16,3
Italian 30,3
Italian 51,3
Italian 61,3
Italian 130,3
Japan Studies,3
J 100,3
J 101,5
J102 MRV-MWY,3
J 103,3
J104 WYZ,3
J 105,3
J 110,3
J 111,3
J116 TUV,3
J 117,3
J 121,3
J 122,3
J123 FXZ,3
J123 WRV,3
J 152,3
J195 HWY,3
J196 WRV,3
J199 HYZ,3
J 200,3
J 201,3
J 202,3
J 250,6
J 300,3
Kas 1,3
Kas 2,3
Kas 10,3
Kas 100,3
Kas 102,3
Kas 108,3
Kas 111,3
Kas 114,3
Kas 116,3
Kas 128,3
Kas 154,3
Kas 155,3
Kas 156,3
Kas 158,3
Kas 161,3
Kas 162,3
Kas 196,3
Kas 199,3
Kas 204,3
Kas 209,3
Kas 298,3
Kas 299,3
Kas 300,3
Kas 324,3
Kas 327,3
Kas 328,3
Kas 342,6
Kas 400,3
Koreyano 10,3
Koreyano 11,3
Koreyano 12,3
Koreyano 13,3
Koreyano 110,3
Koreyano 112,3
Koreyano 113,3
Koreyano 120,3
L Arch,3
Latin 10,5
Law 101,2
Law 103,3
Law 104,5
Law 106,3
Law 107,3
Law 108,4
Law 110,3
Law 111,2
Law 112,3
Law 114,2
Law 116,2
Law 117,1
Law 118,2
Law 120,4
Law 122,3
Law 123,3
Law 124,5
Law 125,4
Law 127,4
Law 128,3
Law 129-B,5
Law 130,2
Law 133,2
Law 134,5
Law 136,2
Law 139,3
Law 154,4
Law 159,3
Law 163,2
Law 169,3
Law 171,3
Law 172,3
Law 173,2
Law 174,3
Law 181,2
LAW 254,3
LAW 275,3
Lingg 1,3
Lingg 110,3
Lingg 115,3
Lingg 121,3
Lingg 136,3
Lingg 137,3
Lingg 140,3
Lingg 166,3
Lingg 170,3
Lingg 180,3
Lingg 197,3
Lingg 199,3
Lingg 204,3
Lingg 206,3
Lingg 245,3
Lingg 270,3
Lingg 299,3
Lingg 300,6
Lingg 400,3
LinggPil 280,3
LinggPil 365,3
LinggPil 375,3
LinggPil 380,3
LinggPil 390,3
LIS 10,3
LIS 50,3
LIS 51,3
LIS 55,3
LIS 60,3
LIS 61,3
LIS 62,3
LIS 64,3
LIS 71,3
LIS 114,3
LIS 120,3
LIS 151,3
LIS 152,3
LIS 158,3
LIS 160,3
LIS 161,3
LIS 162,3
LIS 170,3
LIS 172,3
LIS 173,3
LIS 174,3
LIS 181,3
LIS 191,3
LIS 192,3
